I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",South Asian Nursing College. ,Diploma in Nursing,Freshman (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,2,0,3,3,3,3,3,6,0,4,0,6,6,5,5,5,4
"Yes, I agree to participate,",East Delta University ,Computer Science and Engineering ,Senior (Undergrad),Female,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,0,1,1,1,0,0,0,7,0,3,1,7,1,7,5,7,0
"Yes, I agree to participate,",Port City International University,EEE,Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,Yes,Sometimes,No,Often,No,No,1-3 Hours,2,1,2,3,2,2,2,6,1,4,1,6,4,6,5,5,6
"Yes, I agree to participate,",BRAC University ,CSE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,0,1,1,0,0,2,2,6,6,6,7,7,7,7,5,0,0
"Yes, I agree to participate,",East delta University ,CSE,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,Yes,No,Sometimes,Yes,Rarely,No,No,> 3 Hours,2,2,2,1,2,2,3,7,1,6,1,6,6,5,5,6,6
"Yes, I agree to participate,",Shyamoli Ideal Polytechnic Institute,Electrical Engineering,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Never occurs,No,Rarely,No,Maybe,> 3 Hours,2,0,0,0,0,0,0,0,0,0,0,7,6,6,5,6,0
"Yes, I agree to participate,",East Delta University,Computer Science and Engineering,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,< 1 Hours,1,1,0,0,0,0,0,1,1,7,7,7,7,5,5,1,1
"Yes, I agree to participate,",Dhaka College ,Management ,Graduate student,Male,21-25,No,No,3.01-3.50,No,No,Yes,Sometimes,Yes,Most of the time,Yes,Yes,< 1 Hours,0,1,1,3,3,1,0,3,4,5,5,2,5,5,5,2,2
"Yes, I agree to participate,",Chattogram University ,Physics Department ,Freshman (Undergrad),Female,> 25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Often,No,No,> 3 Hours,3,3,3,3,3,2,3,3,5,4,6,3,4,6,5,3,3
"Yes, I agree to participate,",Abdul Malek Ukil medical College ,MBBS ,Graduate student,Female,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,Yes,Never,No,No,1-3 Hours,0,1,1,2,0,1,3,1,2,1,0,3,1,7,5,7,0
"Yes, I agree to participate,",East  Delta  university,B.sc  in  EEE,Graduate student,Male,> 25,Yes,Yes,< 3.00,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,0,1,2,1,2,2,2,1,1,6,1,6,6,6,5,6,2
"Yes, I agree to participate,",Govt. Haji Mohammad Mohsin College ,Math Department ,Freshman (Undergrad),Female,< 20,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,0,3,3,3,3,3,3,1,7,5,7,5,7,4,5,1,7
"Yes, I agree to participate,",Chittagong University   ,Chemistry Department ,Freshman (Undergrad),Female,> 25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,> 3 Hours,2,2,3,3,3,3,3,5,3,6,6,3,7,5,5,5,7
"Yes, I agree to participate,",Brac University ,CSE,Sophomore (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,2,1,3,3,3,3,0,6,5,6,6,6,4,7,5,3,3
"Yes, I agree to participate,",chittagong university,law,Freshman (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,Maybe,> 3 Hours,2,3,3,2,3,2,2,5,1,4,6,5,2,7,5,2,1
"Yes, I agree to participate,",University of Chittagong ,LL.B,Freshman (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,Yes,Never occurs,Yes,Rarely,No,No,< 1 Hours,1,1,3,3,1,3,1,5,2,5,5,2,5,3,5,6,2
"Yes, I agree to participate,","Govt. City College, Chittagong ",Hohgj,Freshman (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,0,1,2,2,1,1,1,3,5,6,1,6,6,4,5,7,2
"Yes, I agree to participate,",East Delta University,EEE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,1,1,2,1,0,0,0,3,5,4,5,6,5,5,5,4,4
"Yes, I agree to participate,",Hazera-Taju Degree College ,HSC,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,1,3,2,3,2,1,2,1,4,5,7,6,5,4,5,1,3
"Yes, I agree to participate,",Professionalä school of business,Bba,Junior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,No,Rarely,No,No,1-3 Hours,1,1,0,1,1,1,3,2,5,6,6,7,4,7,5,4,3
"Yes, I agree to participate,",Chattogram  College ,Zoology ,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,No,No,Most of the time,No,Rarely,Yes,Yes,> 3 Hours,3,1,3,3,3,3,3,1,6,5,7,6,5,3,5,2,3
"Yes, I agree to participate,",University of Chittagong ,Law,Freshman (Undergrad),Female,> 25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Rarely,No,Yes,> 3 Hours,0,1,3,2,0,3,2,1,0,0,1,1,0,2,5,0,2
"Yes, I agree to participate,",Port city university ,Fashion design and technology ,Freshman (Undergrad),Female,> 25,Yes,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,No,Yes,> 3 Hours,1,2,1,2,1,2,1,1,3,2,1,0,1,2,5,4,5
"Yes, I agree to participate,",East Delta university ,PGDHRM,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,Yes,Yes,No,Sometimes,Yes,Never,No,No,> 3 Hours,3,2,3,3,3,3,3,2,5,6,6,7,4,7,5,4,3
"Yes, I agree to participate,",East Delta University ,Cse,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,No,Rarely,Yes,No,1-3 Hours,2,2,3,3,2,3,2,1,6,5,7,6,5,3,5,2,3
"Yes, I agree to participate,",East Delta University ,Bsc in CSE,Freshman (Undergrad),Male,< 20,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,< 1 Hours,1,2,3,1,2,2,1,1,0,0,1,1,0,2,5,0,2
"Yes, I agree to participate,",University of Chittagong ,LLM,Graduate student,Female,> 25,No,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,Yes,Yes,< 1 Hours,1,0,1,1,1,3,2,2,5,0,6,0,7,7,5,6,7
"Yes, I agree to participate,",Govt Hazi Mohammed Mohsin College ,Hsc,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,Yes,Most of the time,Yes,Often,Yes,Maybe,> 3 Hours,3,3,3,3,3,3,3,2,4,1,5,7,7,7,5,3,3
"Yes, I agree to participate,",University of Chittagong ,LL.B,Graduate student,Male,21-25,Yes,No,< 3.00,No,No,No,Never occurs,Yes,Never,No,No,1-3 Hours,2,3,3,3,3,2,3,7,6,4,5,3,2,6,5,5,3
"Yes, I agree to participate,",East delta University ,Cse,Senior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,Yes,Most of the time,Yes,Most of the time,Yes,No,< 1 Hours,1,3,2,3,3,3,3,1,1,3,4,6,4,6,5,6,1
"Yes, I agree to participate,",Chittagong Polytechnic Institute ,Electronics technology ,Graduate student,Female,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,No,Never,No,Yes,> 3 Hours,0,2,3,3,2,1,1,2,5,6,6,5,5,5,5,3,6
"Yes, I agree to participate,",Chittagong  independent  university ,Bba,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,No,No,> 3 Hours,0,0,0,0,0,0,0,2,1,6,1,7,7,7,5,6,2
"Yes, I agree to participate,",University of Chittagong. ,History ,Graduate student,Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,3,1,2,0,0,2,0,2,5,6,5,3,2,6,5,5,3
"Yes, I agree to participate,","East Delta University, Chittagong ",EEE,Junior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,Yes,No,Never occurs,Yes,Often,No,No,1-3 Hours,1,1,3,3,3,3,3,7,6,4,5,3,2,6,5,5,3
"Yes, I agree to participate,",European University,Bsc in EEE,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,1,2,0,1,0,1,2,1,4,5,7,5,2,1,5,1,3
"Yes, I agree to participate,",Mohila college Chottogram ,Botany ,Freshman (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,Yes,Often,Yes,Yes,< 1 Hours,3,0,0,3,3,1,0,1,7,5,7,5,7,4,5,1,7
"Yes, I agree to participate,",East Delta University ,BBA,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,2,3,3,3,3,3,3,3,3,5,5,2,6,5,5,1,3
"Yes, I agree to participate,",East Delta university ,BSc. In CSE ,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,Yes,Never occurs,Yes,Rarely,Yes,No,> 3 Hours,2,3,3,3,3,3,3,1,5,5,6,5,5,5,5,3,3
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,Yes,Never,Yes,No,1-3 Hours,1,1,0,3,3,2,0,2,4,3,5,3,6,1,5,3,7
"Yes, I agree to participate,","Govt. Hazi Mohammad Mohsin College, Chattogram ",Mathematics ,Freshman (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Often,No,No,1-3 Hours,2,0,3,2,0,3,3,2,6,5,7,5,6,6,5,1,5
"Yes, I agree to participate,",East Delta University ,BSc in CSE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,Yes,No,No,Sometimes,Yes,Often,Yes,No,< 1 Hours,2,1,1,2,2,3,1,7,6,4,5,3,2,6,5,5,2
"Yes, I agree to participate,",Khulna University ,BBA in HRM,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,Yes,Often,No,Yes,> 3 Hours,1,1,2,2,2,2,3,1,4,5,7,5,2,1,5,1,4
"Yes, I agree to participate,",East Delta University ,Bba,Senior (Undergrad),Female,> 25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,2,1,2,0,0,0,0,1,7,5,7,5,7,4,5,1,7
"Yes, I agree to participate,",Islamic University Kushtia ,Bachelor of Law ,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,No,No,> 3 Hours,2,1,2,1,2,1,1,5,3,6,6,3,7,5,5,5,7
"Yes, I agree to participate,",national university,Bsc,Graduate student,Male,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,Yes,Often,Yes,No,1-3 Hours,1,2,2,3,2,2,2,6,5,6,6,6,4,7,5,3,3
"Yes, I agree to participate,",University of Chittagong ,Law Department ,Freshman (Undergrad),Female,< 20,No,No,3.01-3.50,No,No,No,Never occurs,No,Most of the time,No,Yes,1-3 Hours,3,3,3,3,3,3,3,0,0,1,1,0,2,2,5,2,0
"Yes, I agree to participate,",University of Chittagong ,B.Sc honours,Senior (Undergrad),Female,> 25,Yes,No,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,1,1,1,1,1,2,1,5,0,6,0,7,7,7,5,7,3
"Yes, I agree to participate,",East Delta University ,CSE,Junior (Undergrad),Prefer not to say,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,2,3,3,2,2,2,3,4,1,5,7,7,7,3,5,3,3
"Yes, I agree to participate,",Govt. Hazi Mohammad Mohsin College,Class 12,Freshman (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Never occurs,Yes,Rarely,No,No,1-3 Hours,2,2,2,2,1,2,1,2,4,6,3,7,6,4,5,1,1
"Yes, I agree to participate,",BRAC University,CSE,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,Yes,No,Yes,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,2,3,1,1,0,1,6,5,3,7,7,2,1,5,3,4
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,Yes,Rarely,Yes,No,1-3 Hours,2,1,3,3,3,3,1,5,5,3,4,6,5,7,5,1,1
"Yes, I agree to participate,",East Delta University,BSc in CSE,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,Yes,Yes,No,Sometimes,No,Rarely,No,No,1-3 Hours,1,3,2,1,1,3,2,2,5,3,4,2,3,5,5,1,1
"Yes, I agree to participate,","Chittagong College, Chattogarm",MSc in Zoology,Graduate student,Male,> 25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Rarely,No,No,1-3 Hours,2,1,1,1,1,2,0,5,4,3,2,7,6,5,5,2,2
"Yes, I agree to participate,",BUET,BSc Engineering ,Senior (Undergrad),Female,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,Maybe,> 3 Hours,0,3,3,3,1,1,2,4,5,5,5,7,5,1,5,7,3
"Yes, I agree to participate,",University of Dhaka ,Management ,Graduate student,Male,> 25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Most of the time,No,No,1-3 Hours,1,0,0,0,1,1,0,3,5,3,5,7,7,4,5,2,3
"Yes, I agree to participate,",National University ,Computer Science Engineering ,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,2,1,2,1,1,3,1,1,5,4,7,7,7,7,5,1,1
"Yes, I agree to participate,",Jagannath University ,MBA,Graduate student,Female,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,2,2,3,2,2,3,2,6,5,2,7,5,4,7,5,1,5
"Yes, I agree to participate,",I don't want to share,CSE ,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,Yes,Sometimes,No,Rarely,Yes,Maybe,> 3 Hours,2,3,3,3,2,2,2,2,5,7,2,5,6,5,5,3,2
"Yes, I agree to participate,",Uits,Bba,Sophomore (Undergrad),Male,21-25,No,Yes,> 3.50,Yes,Yes,No,Sometimes,No,Never,No,No,1-3 Hours,0,0,0,0,0,3,0,1,1,3,4,6,4,6,5,6,1
"Yes, I agree to participate,",Brac,Cse,Sophomore (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,Yes,Never occurs,Yes,Never,Yes,No,1-3 Hours,2,2,2,2,2,2,3,1,6,5,7,6,1,5,5,2,7
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,BSc in EEE,Graduate student,Male,21-25,Yes,No,< 3.00,Yes,Yes,Yes,Most of the time,Yes,Often,Yes,No,> 3 Hours,3,3,3,3,3,3,3,3,3,5,5,2,6,5,5,1,1
"Yes, I agree to participate,",Dhaka college,Ba(English),Graduate student,Male,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Rarely,Yes,No,1-3 Hours,1,1,2,1,2,2,0,1,5,5,6,5,5,5,5,3,5
"Yes, I agree to participate,",Dhaka College ,Geography and Environment ,Freshman (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Never occurs,Yes,Never,No,No,> 3 Hours,1,3,1,2,1,3,1,2,4,3,5,3,6,1,5,3,4
"Yes, I agree to participate,","Lalmatia mohila college,Dhaka.",Management ,Freshman (Undergrad),Female,> 25,Yes,No,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,3,1,1,3,3,3,3,2,6,5,7,5,6,6,5,1,2
"Yes, I agree to participate,",East Delta University ,Economic Department ,Freshman (Undergrad),Female,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,1,1,2,1,0,0,1,1,1,7,7,7,7,5,5,1,1
"Yes, I agree to participate,",Army IBA,BBA,Graduate student,Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,1,1,2,1,1,1,1,3,4,5,5,2,5,5,5,2,2
"Yes, I agree to participate,",Khulna Medical College,Mbbs,Senior (Undergrad),Female,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,2,2,2,2,3,3,3,5,4,6,3,4,6,5,3,3
"Yes, I agree to participate,",Ahsanullah University of Science and Technology ,EEE,Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,0,1,1,1,0,0,1,1,2,1,0,3,1,7,5,7,0
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,0,1,1,1,2,2,1,1,2,1,0,3,1,7,0,7,0
"Yes, I agree to participate,",Brac,Cse,Senior (Undergrad),Prefer not to say,21-25,No,No,> 3.50,Yes,No,No,Never occurs,No,Rarely,No,No,> 3 Hours,0,0,2,0,1,0,1,1,2,1,0,3,1,7,0,7,0
"Yes, I agree to participate,",IUB,English Literature,Freshman (Undergrad),Male,> 25,Yes,No,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,1,2,2,1,1,1,2,6,5,5,3,5,4,7,6,6,1
"Yes, I agree to participate,",Gurudayal Government College ,Science ,Freshman (Undergrad),Male,< 20,No,No,< 3.00,No,No,No,Never occurs,Yes,Rarely,Yes,Maybe,> 3 Hours,3,3,2,0,3,3,3,5,0,2,6,5,5,7,6,0,0
"Yes, I agree to participate,",East delta University,Engineering ,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,1,1,1,1,1,1,0,1,1,6,1,6,6,6,1,6,2
"Yes, I agree to participate,",Premier University Chittagong ,English language and literature ,Freshman (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,No,No,Most of the time,No,Never,No,Maybe,> 3 Hours,1,2,3,2,1,1,0,5,5,7,5,1,4,6,1,6,1
"Yes, I agree to participate,",East Delta University ,EEE ,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,Yes,> 3 Hours,2,1,2,2,2,3,2,5,1,6,7,5,3,7,2,4,4
"Yes, I agree to participate,",AIUB,Cse,Graduate student,Male,21-25,No,No,3.01-3.50,No,No,No,Never occurs,No,Never,Yes,No,> 3 Hours,1,1,0,2,2,1,1,2,1,7,1,5,6,6,1,5,5
"Yes, I agree to participate,",Rangamati Medical College,MBBS,Senior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Never,No,Yes,> 3 Hours,1,0,0,1,0,2,0,7,2,6,2,7,3,6,1,7,1
"Yes, I agree to participate,",KUET ,Bsc Engineering in EEE,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,Yes,Sometimes,Yes,Most of the time,Yes,Yes,> 3 Hours,1,1,2,2,2,2,2,2,0,3,3,1,2,1,2,3,4
"Yes, I agree to participate,",National Institute Of Textile Engineering & Research (NITER),Bsc in Textile Engineering ,Graduate student,Male,21-25,No,Yes,< 3.00,No,No,No,Sometimes,No,Often,Yes,No,> 3 Hours,2,1,2,2,2,1,1,3,3,3,3,3,4,3,3,3,2
"Yes, I agree to participate,",East delta University ,Economics ,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,1,1,1,2,2,3,1,1,1,5,3,5,6,6,2,6,3
"Yes, I agree to participate,",East Delta University ,CSE,Graduate student,Male,> 25,Yes,No,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,3,3,3,2,2,3,3,1,1,4,4,6,7,7,6,7,4
"Yes, I agree to participate,","Govt. Syed Hatem Ali College, Barisal",Zoology,Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,0,2,1,1,0,1,2,0,0,1,2,0,7,3,4,7,2
"Yes, I agree to participate,",Chittagong University of Engineering and Technology,Computer Science and Engineering,Senior (Undergrad),Male,> 25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,3,2,2,1,2,2,2,7,6,5,4,3,1,0,1,2,3
"Yes, I agree to participate,",University of Chittagong,computer science and engineering,Junior (Undergrad),Male,> 25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,No,Never,No,No,1-3 Hours,2,3,1,2,3,1,3,6,5,4,3,2,1,0,1,2,3
"Yes, I agree to participate,",University of Dhaka,computer science and engineering,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,1,2,0,3,2,0,2,5,4,3,2,1,0,1,2,3,4
"Yes, I agree to participate,",Khulna University of Engineering & Technology,computer science and engineering,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,0,1,1,2,1,1,1,4,3,2,1,0,1,2,3,4,5
"Yes, I agree to participate,",American International University - Bangladesh,computer science and engineering,Sophomore (Undergrad),Female,21-25,No,No,< 3.00,Yes,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,3,2,2,1,2,2,2,3,2,1,0,1,2,3,4,5,6
"Yes, I agree to participate,","Shahid Abdur Rab Serniabat Textile Engineering College, Barishal",Apparel Engineering ,Sophomore (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,No,Never,Yes,No,1-3 Hours,1,2,1,1,1,1,2,5,6,6,7,4,7,4,4,3,7
"Yes, I agree to participate,",East Delta University,EEE,Graduate student,Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,Yes,Never,No,Maybe,1-3 Hours,2,1,1,1,1,0,1,6,5,7,6,5,3,6,2,3,3
"Yes, I agree to participate,",University of Chittagong ,Bsc,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Often,No,No,1-3 Hours,1,0,1,1,1,1,0,0,0,1,1,0,2,2,0,2,0
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,No,No,> 3 Hours,1,1,1,1,0,3,0,5,0,6,0,7,7,7,6,7,3
"Yes, I agree to participate,",East Delta University ,B.SC,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,2,1,3,2,2,2,3,4,1,5,7,7,7,3,3,3,3
"Yes, I agree to participate,",Noakhali Science and Technology University ,B.Sc,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,1,1,2,2,1,1,0,3,1,4,1,6,6,4,5,6,2
"Yes, I agree to participate,",East delta University ,Cse,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,Yes,Yes,> 3 Hours,2,2,1,1,2,1,2,2,2,5,5,5,5,2,2,5,5
"Yes, I agree to participate,",University of Chittagong,English,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,1,1,2,2,2,2,3,2,1,6,6,5,7,7,1,5,2
"Yes, I agree to participate,",Islamia Degree College ,Marketing ,Sophomore (Undergrad),Male,21-25,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Never,Yes,No,> 3 Hours,1,2,0,3,0,3,2,7,1,4,3,7,1,7,1,4,1
"Yes, I agree to participate,",East Delta University ,Cse,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,No,No,> 3 Hours,1,0,0,0,0,1,2,4,4,2,3,3,0,4,4,4,4
"Yes, I agree to participate,",United International University,CSE,Senior (Undergrad),Male,21-25,No,No,> 3.50,No,No,Yes,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,2,2,2,3,3,3,6,2,5,6,4,5,5,4,4,3
"Yes, I agree to participate,",East Delta University ,EEE,Graduate student,Male,> 25,Yes,No,3.01-3.50,No,No,Yes,Most of the time,No,Never,No,No,> 3 Hours,3,1,2,3,2,3,2,7,4,4,5,6,4,6,6,4,5
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,1,1,0,1,1,1,1,0,1,2,3,3,3,3,2,3,3
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,No,No,> 3 Hours,0,0,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3
"Yes, I agree to participate,",East Delta,CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,1,3,3,3,2,3,3,5,2,6,6,5,7,7,7,3,5
"Yes, I agree to participate,",Jadavpur University,Civil Engineering ,Graduate student,Male,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,1,2,1,0,0,3,0,5,2,6,1,6,6,6,4,4,2
"Yes, I agree to participate,",IIUC ,CSE ,Graduate student,Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,Maybe,1-3 Hours,1,2,2,2,3,2,3,5,5,5,6,6,4,5,4,3,4
"Yes, I agree to participate,",BGC Trust Medical College Hospital.,MBBS,Graduate student,Male,> 25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Most of the time,Yes,No,> 3 Hours,2,3,1,0,1,3,3,7,3,5,7,7,0,7,0,0,2
